<Filename>    ,<Lower bound on the number of stations>,<Upper bound on the number of stations>
instance_n=20_1,3,3
instance_n=20_2,3,3
instance_n=20_3,3,3
instance_n=20_4,3,3
instance_n=20_5,3,3
instance_n=20_6,3,3
instance_n=20_7,3,3
instance_n=20_8,3,3
instance_n=20_9,3,3
instance_n=20_10,3,3
instance_n=20_11,3,3
instance_n=20_12,3,3
instance_n=20_13,3,3
instance_n=20_14,3,3
instance_n=20_15,3,3
instance_n=20_16,12,12
instance_n=20_17,10,10
instance_n=20_18,11,11
instance_n=20_19,14,14
instance_n=20_20,11,11
instance_n=20_21,14,14
instance_n=20_22,12,12
instance_n=20_23,13,13
instance_n=20_24,11,11
instance_n=20_25,11,11
instance_n=20_26,12,12
instance_n=20_27,13,13
instance_n=20_28,12,12
instance_n=20_29,10,10
instance_n=20_30,16,16
instance_n=20_31,12,12
instance_n=20_32,13,13
instance_n=20_33,11,11
instance_n=20_34,12,12
instance_n=20_35,12,12
instance_n=20_36,13,13
instance_n=20_37,12,12
instance_n=20_38,12,12
instance_n=20_39,13,13
instance_n=20_40,12,12
instance_n=20_41,6,6
instance_n=20_42,5,5
instance_n=20_43,5,5
instance_n=20_44,5,5
instance_n=20_45,6,6
instance_n=20_46,4,4
instance_n=20_47,4,4
instance_n=20_48,5,5
instance_n=20_49,4,4
instance_n=20_50,4,4
instance_n=20_51,4,4
instance_n=20_52,4,4
instance_n=20_53,5,5
instance_n=20_54,5,5
instance_n=20_55,5,5
instance_n=20_56,4,4
instance_n=20_57,4,4
instance_n=20_58,5,5
instance_n=20_59,4,4
instance_n=20_60,6,6
instance_n=20_61,7,7
instance_n=20_62,5,5
instance_n=20_63,5,5
instance_n=20_64,5,5
instance_n=20_65,5,5
instance_n=20_66,3,3
instance_n=20_67,3,3
instance_n=20_68,3,3
instance_n=20_69,2,2
instance_n=20_70,3,3
instance_n=20_71,3,3
instance_n=20_72,3,3
instance_n=20_73,2,2
instance_n=20_74,3,3
instance_n=20_75,3,3
instance_n=20_76,3,3
instance_n=20_77,3,3
instance_n=20_78,3,3
instance_n=20_79,3,3
instance_n=20_80,3,3
instance_n=20_81,3,3
instance_n=20_82,4,4
instance_n=20_83,3,3
instance_n=20_84,3,3
instance_n=20_85,3,3
instance_n=20_86,3,3
instance_n=20_87,3,3
instance_n=20_88,3,3
instance_n=20_89,3,3
instance_n=20_90,3,3
instance_n=20_91,11,11
instance_n=20_92,11,11
instance_n=20_93,13,13
instance_n=20_94,10,10
instance_n=20_95,12,12
instance_n=20_96,10,10
instance_n=20_97,13,15
instance_n=20_98,13,13
instance_n=20_99,12,12
instance_n=20_100,11,11
instance_n=20_101,13,13
instance_n=20_102,11,13
instance_n=20_103,12,12
instance_n=20_104,11,11
instance_n=20_105,12,12
instance_n=20_106,10,10
instance_n=20_107,14,14
instance_n=20_108,15,15
instance_n=20_109,12,12
instance_n=20_110,11,11
instance_n=20_111,13,13
instance_n=20_112,11,11
instance_n=20_113,12,12
instance_n=20_114,13,13
instance_n=20_115,11,11
instance_n=20_116,5,5
instance_n=20_117,5,5
instance_n=20_118,5,5
instance_n=20_119,6,6
instance_n=20_120,6,6
instance_n=20_121,5,5
instance_n=20_122,6,6
instance_n=20_123,5,5
instance_n=20_124,5,5
instance_n=20_125,5,5
instance_n=20_126,5,5
instance_n=20_127,4,4
instance_n=20_128,5,5
instance_n=20_129,5,5
instance_n=20_130,6,6
instance_n=20_131,7,7
instance_n=20_132,4,4
instance_n=20_133,5,5
instance_n=20_134,6,6
instance_n=20_135,6,6
instance_n=20_136,6,6
instance_n=20_137,5,5
instance_n=20_138,5,5
instance_n=20_139,5,5
instance_n=20_140,5,5
instance_n=20_141,3,3
instance_n=20_142,3,3
instance_n=20_143,3,3
instance_n=20_144,4,4
instance_n=20_145,3,3
instance_n=20_146,3,3
instance_n=20_147,3,3
instance_n=20_148,3,3
instance_n=20_149,3,3
instance_n=20_150,3,3
instance_n=20_151,3,3
instance_n=20_152,3,3
instance_n=20_153,3,3
instance_n=20_154,3,3
instance_n=20_155,3,3
instance_n=20_156,3,3
instance_n=20_157,3,3
instance_n=20_158,3,3
instance_n=20_159,3,3
instance_n=20_160,3,3
instance_n=20_161,3,3
instance_n=20_162,3,3
instance_n=20_163,3,3
instance_n=20_164,4,4
instance_n=20_165,3,3
instance_n=20_166,12,12
instance_n=20_167,11,11
instance_n=20_168,10,10
instance_n=20_169,11,11
instance_n=20_170,11,11
instance_n=20_171,13,13
instance_n=20_172,11,11
instance_n=20_173,11,11
instance_n=20_174,12,12
instance_n=20_175,10,10
instance_n=20_176,11,11
instance_n=20_177,10,10
instance_n=20_178,11,11
instance_n=20_179,11,11
instance_n=20_180,13,13
instance_n=20_181,11,11
instance_n=20_182,11,11
instance_n=20_183,13,13
instance_n=20_184,12,12
instance_n=20_185,15,15
instance_n=20_186,14,14
instance_n=20_187,10,10
instance_n=20_188,11,11
instance_n=20_189,13,13
instance_n=20_190,15,15
instance_n=20_191,4,4
instance_n=20_192,5,5
instance_n=20_193,5,5
instance_n=20_194,6,6
instance_n=20_195,6,6
instance_n=20_196,5,5
instance_n=20_197,4,4
instance_n=20_198,6,6
instance_n=20_199,5,5
instance_n=20_200,6,6
instance_n=20_201,6,6
instance_n=20_202,4,4
instance_n=20_203,4,4
instance_n=20_204,5,5
instance_n=20_205,6,6
instance_n=20_206,5,5
instance_n=20_207,6,6
instance_n=20_208,5,5
instance_n=20_209,4,4
instance_n=20_210,5,5
instance_n=20_211,5,5
instance_n=20_212,5,5
instance_n=20_213,5,5
instance_n=20_214,5,5
instance_n=20_215,5,5
instance_n=20_216,3,3
instance_n=20_217,4,4
instance_n=20_218,3,3
instance_n=20_219,3,3
instance_n=20_220,3,3
instance_n=20_221,3,3
instance_n=20_222,3,3
instance_n=20_223,3,3
instance_n=20_224,3,3
instance_n=20_225,3,3
instance_n=20_226,3,3
instance_n=20_227,3,3
instance_n=20_228,2,2
instance_n=20_229,3,3
instance_n=20_230,3,3
instance_n=20_231,3,3
instance_n=20_232,3,3
instance_n=20_233,3,3
instance_n=20_234,3,3
instance_n=20_235,3,3
