<Filename>    ,<Lower bound on the number of stations>,<Upper bound on the number of stations>
instance_n=50_1,8,8
instance_n=50_2,6,6
instance_n=50_3,8,8
instance_n=50_4,7,7
instance_n=50_5,7,7
instance_n=50_6,6,6
instance_n=50_7,7,7
instance_n=50_8,7,7
instance_n=50_9,9,9
instance_n=50_10,7,7
instance_n=50_11,7,7
instance_n=50_12,6,6
instance_n=50_13,6,6
instance_n=50_14,7,7
instance_n=50_15,8,8
instance_n=50_16,8,8
instance_n=50_17,7,7
instance_n=50_18,7,7
instance_n=50_19,8,8
instance_n=50_20,8,8
instance_n=50_21,6,6
instance_n=50_22,7,7
instance_n=50_23,7,7
instance_n=50_24,7,7
instance_n=50_25,6,6
instance_n=50_26,27,27
instance_n=50_27,30,30
instance_n=50_28,28,29
instance_n=50_29,29,29
instance_n=50_30,26,28
instance_n=50_31,27,28
instance_n=50_32,25,26
instance_n=50_33,24,25
instance_n=50_34,30,30
instance_n=50_35,31,31
instance_n=50_36,31,31
instance_n=50_37,32,32
instance_n=50_38,31,31
instance_n=50_39,29,29
instance_n=50_40,26,26
instance_n=50_41,25,26
instance_n=50_42,23,24
instance_n=50_43,25,26
instance_n=50_44,24,25
instance_n=50_45,24,25
instance_n=50_46,28,29
instance_n=50_47,28,28
instance_n=50_48,27,28
instance_n=50_49,24,25
instance_n=50_50,26,27
instance_n=50_51,12,12
instance_n=50_52,11,11
instance_n=50_53,12,12
instance_n=50_54,11,11
instance_n=50_55,13,13
instance_n=50_56,11,11
instance_n=50_57,13,13
instance_n=50_58,11,11
instance_n=50_59,11,11
instance_n=50_60,12,12
instance_n=50_61,13,13
instance_n=50_62,13,13
instance_n=50_63,12,12
instance_n=50_64,13,13
instance_n=50_65,12,12
instance_n=50_66,12,12
instance_n=50_67,12,12
instance_n=50_68,12,12
instance_n=50_69,12,12
instance_n=50_70,10,10
instance_n=50_71,13,13
instance_n=50_72,11,11
instance_n=50_73,11,11
instance_n=50_74,12,12
instance_n=50_75,11,11
instance_n=50_76,7,7
instance_n=50_77,7,7
instance_n=50_78,7,7
instance_n=50_79,8,8
instance_n=50_80,7,7
instance_n=50_81,7,7
instance_n=50_82,6,6
instance_n=50_83,8,8
instance_n=50_84,7,7
instance_n=50_85,8,8
instance_n=50_86,7,7
instance_n=50_87,8,8
instance_n=50_88,8,8
instance_n=50_89,7,7
instance_n=50_90,7,7
instance_n=50_91,7,7
instance_n=50_92,7,7
instance_n=50_93,7,7
instance_n=50_94,7,7
instance_n=50_95,7,7
instance_n=50_96,7,7
instance_n=50_97,7,7
instance_n=50_98,8,8
instance_n=50_99,7,7
instance_n=50_100,7,7
instance_n=50_101,29,30
instance_n=50_102,30,32
instance_n=50_103,29,29
instance_n=50_104,25,28
instance_n=50_105,23,25
instance_n=50_106,27,28
instance_n=50_107,28,28
instance_n=50_108,30,30
instance_n=50_109,30,30
instance_n=50_110,26,27
instance_n=50_111,28,29
instance_n=50_112,27,27
instance_n=50_113,28,28
instance_n=50_114,27,27
instance_n=50_115,26,28
instance_n=50_116,31,33
instance_n=50_117,26,27
instance_n=50_118,29,29
instance_n=50_119,25,25
instance_n=50_120,27,27
instance_n=50_121,31,32
instance_n=50_122,28,30
instance_n=50_123,32,32
instance_n=50_124,29,30
instance_n=50_125,32,33
instance_n=50_126,12,12
instance_n=50_127,14,14
instance_n=50_128,12,12
instance_n=50_129,13,13
instance_n=50_130,13,13
instance_n=50_131,12,12
instance_n=50_132,12,12
instance_n=50_133,12,12
instance_n=50_134,14,14
instance_n=50_135,13,13
instance_n=50_136,11,11
instance_n=50_137,11,11
instance_n=50_138,12,12
instance_n=50_139,11,11
instance_n=50_140,12,12
instance_n=50_141,13,13
instance_n=50_142,11,11
instance_n=50_143,12,12
instance_n=50_144,13,13
instance_n=50_145,10,10
instance_n=50_146,13,13
instance_n=50_147,13,13
instance_n=50_148,10,10
instance_n=50_149,12,12
instance_n=50_150,11,11
instance_n=50_151,7,7
instance_n=50_152,7,7
instance_n=50_153,7,7
instance_n=50_154,8,8
instance_n=50_155,7,7
instance_n=50_156,7,7
instance_n=50_157,8,8
instance_n=50_158,7,7
instance_n=50_159,7,7
instance_n=50_160,8,8
instance_n=50_161,7,7
instance_n=50_162,8,8
instance_n=50_163,7,7
instance_n=50_164,7,7
instance_n=50_165,8,8
instance_n=50_166,8,8
instance_n=50_167,7,7
instance_n=50_168,8,8
instance_n=50_169,8,8
instance_n=50_170,7,7
instance_n=50_171,8,8
instance_n=50_172,7,7
instance_n=50_173,7,7
instance_n=50_174,7,7
instance_n=50_175,7,7
instance_n=50_176,27,27
instance_n=50_177,27,28
instance_n=50_178,27,28
instance_n=50_179,26,26
instance_n=50_180,26,26
instance_n=50_181,29,29
instance_n=50_182,26,27
instance_n=50_183,28,28
instance_n=50_184,38,38
instance_n=50_185,26,26
instance_n=50_186,26,26
instance_n=50_187,25,27
instance_n=50_188,24,25
instance_n=50_189,26,26
instance_n=50_190,30,30
instance_n=50_191,27,28
instance_n=50_192,27,28
instance_n=50_193,28,28
instance_n=50_194,28,29
instance_n=50_195,28,28
instance_n=50_196,27,27
instance_n=50_197,28,29
instance_n=50_198,28,28
instance_n=50_199,29,29
instance_n=50_200,24,26
instance_n=50_201,13,13
instance_n=50_202,9,9
instance_n=50_203,11,11
instance_n=50_204,10,10
instance_n=50_205,13,13
instance_n=50_206,11,11
instance_n=50_207,10,10
instance_n=50_208,13,13
instance_n=50_209,11,11
instance_n=50_210,13,13
instance_n=50_211,12,12
instance_n=50_212,10,10
instance_n=50_213,13,13
instance_n=50_214,11,11
instance_n=50_215,11,11
instance_n=50_216,12,12
instance_n=50_217,13,13
instance_n=50_218,12,12
instance_n=50_219,11,11
instance_n=50_220,11,11
instance_n=50_221,11,11
instance_n=50_222,14,14
instance_n=50_223,11,11
instance_n=50_224,11,11
instance_n=50_225,12,12
instance_n=50_226,7,7
instance_n=50_227,6,6
instance_n=50_228,6,6
instance_n=50_229,6,6
instance_n=50_230,7,7
instance_n=50_231,7,7
instance_n=50_232,7,7
instance_n=50_233,6,6
instance_n=50_234,8,8
instance_n=50_235,7,7
instance_n=50_236,7,7
instance_n=50_237,8,8
instance_n=50_238,7,7
instance_n=50_239,7,7
instance_n=50_240,7,7
instance_n=50_241,7,7
instance_n=50_242,8,8
instance_n=50_243,7,7
instance_n=50_244,7,7
instance_n=50_245,7,7
instance_n=50_246,8,8
instance_n=50_247,7,7
instance_n=50_248,7,7
instance_n=50_249,7,7
instance_n=50_250,7,7
instance_n=50_251,26,28
instance_n=50_252,31,33
instance_n=50_253,27,29
instance_n=50_254,30,30
instance_n=50_255,27,31
instance_n=50_256,30,30
instance_n=50_257,31,33
instance_n=50_258,26,28
instance_n=50_259,29,31
instance_n=50_260,28,29
instance_n=50_261,25,28
instance_n=50_262,30,31
instance_n=50_263,28,31
instance_n=50_264,27,27
instance_n=50_265,27,27
instance_n=50_266,29,29
instance_n=50_267,27,29
instance_n=50_268,28,29
instance_n=50_269,26,26
instance_n=50_270,28,28
instance_n=50_271,28,31
instance_n=50_272,27,27
instance_n=50_273,25,28
instance_n=50_274,29,30
instance_n=50_275,27,27
instance_n=50_276,12,12
instance_n=50_277,13,13
instance_n=50_278,12,12
instance_n=50_279,11,11
instance_n=50_280,13,13
instance_n=50_281,11,11
instance_n=50_282,12,12
instance_n=50_283,12,12
instance_n=50_284,11,11
instance_n=50_285,13,13
instance_n=50_286,11,11
instance_n=50_287,12,12
instance_n=50_288,10,10
instance_n=50_289,11,11
instance_n=50_290,14,14
instance_n=50_291,12,12
instance_n=50_292,13,13
instance_n=50_293,12,12
instance_n=50_294,13,13
instance_n=50_295,16,16
instance_n=50_296,13,13
instance_n=50_297,13,13
instance_n=50_298,11,11
instance_n=50_299,12,12
instance_n=50_300,12,12
instance_n=50_301,6,6
instance_n=50_302,7,7
instance_n=50_303,8,8
instance_n=50_304,7,7
instance_n=50_305,8,8
instance_n=50_306,7,7
instance_n=50_307,7,7
instance_n=50_308,8,8
instance_n=50_309,7,7
instance_n=50_310,8,8
instance_n=50_311,8,8
instance_n=50_312,6,6
instance_n=50_313,8,8
instance_n=50_314,7,7
instance_n=50_315,8,8
instance_n=50_316,8,8
instance_n=50_317,6,6
instance_n=50_318,8,8
instance_n=50_319,7,7
instance_n=50_320,8,8
instance_n=50_321,6,6
instance_n=50_322,7,7
instance_n=50_323,7,7
instance_n=50_324,7,7
instance_n=50_325,7,7
instance_n=50_326,33,33
instance_n=50_327,28,28
instance_n=50_328,32,32
instance_n=50_329,24,25
instance_n=50_330,29,29
instance_n=50_331,29,29
instance_n=50_332,24,25
instance_n=50_333,28,28
instance_n=50_334,29,29
instance_n=50_335,27,27
instance_n=50_336,25,26
instance_n=50_337,26,26
instance_n=50_338,26,27
instance_n=50_339,27,28
instance_n=50_340,27,29
instance_n=50_341,27,27
instance_n=50_342,27,28
instance_n=50_343,26,27
instance_n=50_344,30,30
instance_n=50_345,29,30
instance_n=50_346,27,27
instance_n=50_347,25,26
instance_n=50_348,30,30
instance_n=50_349,28,29
instance_n=50_350,23,25
instance_n=50_351,12,12
instance_n=50_352,10,10
instance_n=50_353,13,13
instance_n=50_354,13,13
instance_n=50_355,11,11
instance_n=50_356,15,15
instance_n=50_357,12,12
instance_n=50_358,11,11
instance_n=50_359,10,10
instance_n=50_360,12,12
instance_n=50_361,11,11
instance_n=50_362,10,10
instance_n=50_363,11,11
instance_n=50_364,13,13
instance_n=50_365,11,11
instance_n=50_366,13,13
instance_n=50_367,12,12
instance_n=50_368,12,12
instance_n=50_369,12,12
instance_n=50_370,12,12
instance_n=50_371,11,11
instance_n=50_372,10,10
instance_n=50_373,12,12
instance_n=50_374,11,11
instance_n=50_375,13,13
instance_n=50_376,7,7
instance_n=50_377,7,7
instance_n=50_378,8,8
instance_n=50_379,7,7
instance_n=50_380,7,7
instance_n=50_381,8,8
instance_n=50_382,6,6
instance_n=50_383,7,7
instance_n=50_384,8,8
instance_n=50_385,7,7
instance_n=50_386,7,7
instance_n=50_387,8,8
instance_n=50_388,7,7
instance_n=50_389,8,8
instance_n=50_390,7,7
instance_n=50_391,7,7
instance_n=50_392,8,8
instance_n=50_393,7,7
instance_n=50_394,8,8
instance_n=50_395,7,7
instance_n=50_396,8,8
instance_n=50_397,7,7
instance_n=50_398,6,6
instance_n=50_399,7,7
instance_n=50_400,8,8
instance_n=50_401,28,28
instance_n=50_402,27,27
instance_n=50_403,33,34
instance_n=50_404,29,32
instance_n=50_405,27,27
instance_n=50_406,32,34
instance_n=50_407,27,30
instance_n=50_408,26,26
instance_n=50_409,30,33
instance_n=50_410,28,28
instance_n=50_411,29,29
instance_n=50_412,26,26
instance_n=50_413,28,30
instance_n=50_414,27,27
instance_n=50_415,26,29
instance_n=50_416,27,27
instance_n=50_417,30,30
instance_n=50_418,26,28
instance_n=50_419,32,33
instance_n=50_420,27,28
instance_n=50_421,34,34
instance_n=50_422,26,29
instance_n=50_423,27,29
instance_n=50_424,27,27
instance_n=50_425,34,34
instance_n=50_426,11,11
instance_n=50_427,12,12
instance_n=50_428,13,13
instance_n=50_429,11,11
instance_n=50_430,14,14
instance_n=50_431,11,11
instance_n=50_432,12,12
instance_n=50_433,12,12
instance_n=50_434,11,11
instance_n=50_435,11,11
instance_n=50_436,11,11
instance_n=50_437,12,12
instance_n=50_438,10,10
instance_n=50_439,12,12
instance_n=50_440,13,13
instance_n=50_441,11,11
instance_n=50_442,12,12
instance_n=50_443,11,11
instance_n=50_444,12,12
instance_n=50_445,12,12
instance_n=50_446,12,12
instance_n=50_447,13,13
instance_n=50_448,12,12
instance_n=50_449,11,11
instance_n=50_450,11,11
instance_n=50_451,8,8
instance_n=50_452,8,8
instance_n=50_453,7,7
instance_n=50_454,8,8
instance_n=50_455,6,6
instance_n=50_456,8,8
instance_n=50_457,8,8
instance_n=50_458,7,7
instance_n=50_459,7,7
instance_n=50_460,7,7
instance_n=50_461,6,6
instance_n=50_462,7,7
instance_n=50_463,8,8
instance_n=50_464,6,6
instance_n=50_465,8,8
instance_n=50_466,7,7
instance_n=50_467,9,9
instance_n=50_468,7,7
instance_n=50_469,8,8
instance_n=50_470,8,8
instance_n=50_471,7,7
instance_n=50_472,8,8
instance_n=50_473,7,7
instance_n=50_474,7,7
instance_n=50_475,6,6
instance_n=50_476,26,28
instance_n=50_477,27,29
instance_n=50_478,29,32
instance_n=50_479,28,28
instance_n=50_480,34,34
instance_n=50_481,26,28
instance_n=50_482,26,27
